id;Full Name;Title;Genre;isLoaned;isReviewed;ratedAt
34;Christian Haller;Muzica Inghitita;P29_ENGLISH_LITERATURE;1;1;V
35;Christian Haller;Muzica Inghitita;P29_ENGLISH_LITERATURE;1;0;I
36;Christian Heidicker;Leac pentru o lume banala;P44_YOUTH;1;0;II
37;Christian Heidicker;Leac pentru o lume banala;P44_YOUTH;1;0;III
38;Christian Jacq;Afacerea Tutankhamon;P41_ADVENTURE;1;0;IV
39;Christian Jacq;Afacerea Tutankhamon;P41_ADVENTURE;0;1;V
40;Christian Jacq;Ce dulce e viata la umbra palmierilor!;P41_ADVENTURE;0;1;I
41;Christian Jacq;Ce dulce e viata la umbra palmierilor!;P41_ADVENTURE;0;1;II
42;Christian Jacq;Crima mumiei;P41_ADVENTURE;0;1;III
43;Christian Jacq;Crima mumiei;P41_ADVENTURE;0;1;IV
44;Christian Jacq;Din dragoste pentru Philae;P41_ADVENTURE;0;1;V
45;Christian Jacq;Din dragoste pentru Philae;P41_ADVENTURE;0;0;I
46;Christian Jacq;Locasul adevarului;P41_ADVENTURE;0;0;II
47;Christian Jacq;Locasul adevarului;P41_ADVENTURE;0;1;III
48;Christian Jacq;Misterele lui Osiris;P41_ADVENTURE;1;1;IV
49;Christian Jacq;Misterele lui Osiris;P41_ADVENTURE;1;1;V
50;Christian Jacq;Misterele lui Osiris;P41_ADVENTURE;1;1;I
51;Christian Jacq;Misterele lui Osiris;P41_ADVENTURE;1;1;II
52;Christian Jacq;Misterele lui Osiris;P41_ADVENTURE;1;1;III
53;Christian Jacq;Misterele lui Osiris;P41_ADVENTURE;1;0;IV
54;Christian Jacq;Misterele lui Osiris;P41_ADVENTURE;1;0;V
55;Christian Jacq;Misterele lui Osiris;P41_ADVENTURE;1;0;I
56;Christian Jacq;Paneb cel zelos;P41_ADVENTURE;1;0;II
57;Christian Jacq;Paneb cel zelos;P41_ADVENTURE;1;0;III
58;Christian Jacq;Piatra Luminii;P41_ADVENTURE;1;0;IV
59;Christian Jacq;Piatra Luminii;P41_ADVENTURE;1;0;I
60;Christian Jacq;Piatra Luminii;P41_ADVENTURE;1;1;II
61;Christian Jacq;Piatra Luminii;P41_ADVENTURE;1;1;III
62;Christian Jacq;Piatra Luminii;P41_ADVENTURE;1;1;IV
63;Christian Jacq;Piatra Luminii;P41_ADVENTURE;1;1;V
64;Christian Jacq;Ramses;P41_ADVENTURE;1;1;I
65;Christian Jacq;Ramses;P41_ADVENTURE;0;0;II
66;Christian Jacq;Ramses;P41_ADVENTURE;0;0;III
67;Christian Jacq;Ramses;P41_ADVENTURE;0;0;IV
68;Christian Jacq;Ramses;P41_ADVENTURE;0;0;V
69;Christian Jacq;Ramses;P41_ADVENTURE;0;0;I
70;Christian Jacq;Ramses;P41_ADVENTURE;1;0;II
71;Christian Jacq;Ramses;P41_ADVENTURE;;;III
72;Christian Jacq;Ramses;P41_ADVENTURE;;;IV
73;Christian Jacq;Ramses;P41_ADVENTURE;;;V
74;Christian Jacq;Razbunarea Zeilor;P41_ADVENTURE;;;I
75;Christian Jacq;Razbunarea Zeilor;P41_ADVENTURE;;;II
76;Christian Jacq;Razbunarea Zeilor;P41_ADVENTURE;;;III
77;Christian Jacq;Razbunarea Zeilor;P41_ADVENTURE;;;IV
78;Christian Jacq;Ultimul vis al Cleopatrei;P41_ADVENTURE;;;V
79;Christian Jacq;Ultimul vis al Cleopatrei;P41_ADVENTURE;;;I
80;Christian Leourier;Omul care ucise iarna;P22_PROSE_FICTION;;;II
81;Christian Leourier;Omul care ucise iarna;P22_PROSE_FICTION;;;III
82;Christina Baker Kline;Trenul orfanilor ;P29_ENGLISH_LITERATURE;;;IV
83;Christina Baker Kline;Trenul orfanilor 08 ;P29_ENGLISH_LITERATURE;;;V
84;Christina Dodd;Cu pletele fluturand;P40_LOVE_ROMANTIC;;;I
85;Christina Dodd;Cu pletele fluturand;P40_LOVE_ROMANTIC;;;II
86;Christina Dodd;Doamna In negru;P40_LOVE_ROMANTIC;;;III
87;Christina Dodd;Doamna In negru;P40_LOVE_ROMANTIC;;;IV
88;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;I
89;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;II
90;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;III
91;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;IV
92;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;V
93;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;I
94;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;II
95;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;III
96;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;IV
97;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;V
98;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;I
99;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;II
100;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;III
101;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;IV
102;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;V
103;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;I
104;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;II
105;Christina Dodd;Governess Brides;P40_LOVE_ROMANTIC;;;III
106;Christina Dodd;Scandalos!;P40_LOVE_ROMANTIC;;;IV
107;Christina Dodd;Scandalos!;P40_LOVE_ROMANTIC;;;V
108;Christina Lane;Imprevizibila Colombine;P40_LOVE_ROMANTIC;;;I
109;Christina Lane;Imprevizibila Colombine;P40_LOVE_ROMANTIC;;;II
110;Christina Lauren;Expertul seducator;P45_EROTIC;;;III
111;Christina Lauren;Expertul seducator09 ;P45_EROTIC;;;IV
112;Christina Lauren;Strainul seducator ;P40_LOVE_ROMANTIC;;;V
113;Christina Lauren;Strainul seducator 09 ;P40_LOVE_ROMANTIC;;;I
114;Christine Alexander;Infernul de pe frontul de est;P46_WAR;;;II
115;Christine Alexander;Infernul de pe frontul de est;P46_WAR;;;III
116;Christine Angot;O iubire imposibila;P29_ENGLISH_LITERATURE;;;IV
117;Christine Angot;O iubire imposibila;P29_ENGLISH_LITERATURE;;;I
118;Christine Cross;Ar trebui sa fii orb;P40_LOVE_ROMANTIC;;;II
119;Christine Cross;Ar trebui sa fii orb;P40_LOVE_ROMANTIC;;;III
120;Christine Mangan;Necunoscuta din Tanger;P29_ENGLISH_LITERATURE;;;IV
121;Christine Mangan;Necunoscuta din Tanger;P29_ENGLISH_LITERATURE;;;V
122;Christine Orban;Mesaj Intarziat;P40_LOVE_ROMANTIC;;;I
123;Christine Orban;Mesaj Intarziat;P40_LOVE_ROMANTIC;;;II
124;Christine Orban;Vizitator de o seara;P40_LOVE_ROMANTIC;;;III
125;Christine Orban;Vizitator de o seara;P40_LOVE_ROMANTIC;;;IV
126;Christofor Black;Pe urmele unui canibal;P20_DRAMA;;;V
127;Christofor Black;Pe urmele unui canibal;P20_DRAMA;;;I
128;Christoph Ransmayr;Cox sau mersul timpului;P29_ENGLISH_LITERATURE;;;II
129;Christoph Ransmayr;Cox sau mersul timpului;P29_ENGLISH_LITERATURE;;;III
130;Christophe Dufosse;Sfarsitul orelor ;P29_ENGLISH_LITERATURE;;;IV
131;Christophe Dufosse;Sfarsitul orelor 07 ;P29_ENGLISH_LITERATURE;;;V
132;Christopher Isherwood;Adio, Berlin;P29_ENGLISH_LITERATURE;;;I
133;Christopher Isherwood;Adio, Berlin;P29_ENGLISH_LITERATURE;;;II
134;Christopher Knight;Inaintea piramidelor;P47_MYSTERY;;;III
135;Christopher Knight;Inaintea piramidelor;P47_MYSTERY;;;IV
136;Christopher Knight & Alan Butler;Prima civilizatie;P47_MYSTERY;;;V
137;Christopher Knight & Alan Butler;Prima civilizatie;P47_MYSTERY;;;I
138;Christopher Knight & Robert Lomas;Aparatul lui Uriel. Originile antice ale stiintei;P47_MYSTERY;;;II
139;Christopher Knight & Robert Lomas;Aparatul lui Uriel. Originile antice ale stiintei;P47_MYSTERY;;;III
140;Christopher Knight & Robert Lomas;Cartea lui Hiram;P47_MYSTERY;;;IV
141;Christopher Knight & Robert Lomas;Cartea lui Hiram;P47_MYSTERY;;;V
142;Christopher Knight & Robert Lomas;Secretul lui Hiram;P47_MYSTERY;;;I
143;Christopher Knight & Robert Lomas;Secretul lui Hiram;P47_MYSTERY;;;II
144;Christopher Marlowe;Eduard al II-lea;P48_THEATRE;;;III
145;Christopher Marlowe;Eduard al II-lea06 ;P48_THEATRE;;;IV
146;Christopher Marlowe;Evreul din Malta;P48_THEATRE;;;I
147;Christopher Marlowe;Evreul din Malta06 ;P48_THEATRE;;;II
148;Christopher Marlowe;Tamerlan cel Mare;P48_THEATRE;;;III
149;Christopher Marlowe;Tamerlan cel Mare06 ;P48_THEATRE;;;IV
150;Christopher Paolini;Mostenirea;DP_PARANORMAL;;;V
151;Christopher Paolini;Mostenirea;DP_PARANORMAL;;;I
152;Christopher Paolini;Mostenirea;DP_PARANORMAL;;;II
153;Christopher Paolini;Mostenirea;DP_PARANORMAL;;;III
154;Christopher Paolini;Mostenirea;DP_PARANORMAL;;;IV
155;Christopher Paolini;Mostenirea;DP_PARANORMAL;;;V
156;Christopher Paolini;Mostenirea;DP_PARANORMAL;;;I
157;Christopher Paolini;Mostenirea;DP_PARANORMAL;;;II
158;Christopher Priest;Lumea inversa;P22_PROSE_FICTION;;;III
159;Christopher Priest;Lumea inversa;P22_PROSE_FICTION;;;IV
160;Christopher Priest;Magicienii;P22_PROSE_FICTION;;;V
161;Christopher Priest;Magicienii;P22_PROSE_FICTION;;;I
162;Christopher Rowe;Statul voluntar ;P22_PROSE_FICTION;;;II
163;Christopher Rowe;Statul voluntar 09 ;P22_PROSE_FICTION;;;III
164;Christophor Black;Ingerul mortii;P43_ACTION;;;IV
165;Christophor Black;Ingerul mortii;P43_ACTION;;;V
166;Christophor Black;O moarte traita din plin;P43_ACTION;;;I
167;Christophor Black;O moarte traita din plin;P43_ACTION;;;II
168;Chuck Bainbridge;Cavalerii mortii;P43_ACTION;;;III
169;Chuck Bainbridge;Cavalerii mortii;P43_ACTION;;;IV
170;Chuck Bainbridge;Dreptatea mercenarilor;P43_ACTION;;;V
171;Chuck Bainbridge;Dreptatea mercenarilor;P43_ACTION;;;I
172;Chuck Hogan;Incercuirea;P20_DRAMA;;;II
173;Chuck Hogan;Incercuirea;P20_DRAMA;;;III
174;Chuck Norris;Puterea secreta a sinelui ;BL3_RELIGIONS_OF_THE_WORLD;;;IV
175;Chuck Norris;Puterea secreta a sinelui 05 ;BL3_RELIGIONS_OF_THE_WORLD;;;I
176;Chuck Palahniuk;Bantuitii;P42_THRILLER;;;II
177;Chuck Palahniuk;Bantuitii;P42_THRILLER;;;III
178;Chuck Palahniuk;Fight club;P42_THRILLER;;;IV
179;Chuck Palahniuk;Fight club;P42_THRILLER;;;V
180;Cicero;Despre prietenie ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;I
181;Cicero;Despre prietenie ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;II
182;Cicerone Ionitoiu;Genocidul din Romania ;HX1_SOCIALISM_COMMUNISM_ANARCHISM;;;III
183;Cicerone Ionitoiu;Genocidul din Romania 07 ;HX1_SOCIALISM_COMMUNISM_ANARCHISM;;;IV
184;Cin Forshay Lundsford;Sa calci pe cenusa;P40_LOVE_ROMANTIC;;;V
185;Cin Forshay Lundsford;Sa calci pe cenusa09 ;P40_LOVE_ROMANTIC;;;I
186;Cincinat Pavelescu;Epigrame;P16_POETRY;;;II
187;Cincinat Pavelescu;Epigrame;P16_POETRY;;;III
188;Cindy I. Schulter;Mesaj de la Toth ;BL3_RELIGIONS_OF_THE_WORLD;;;IV
189;Cindy I. Schulter;Mesaj de la Toth 02 ;BL3_RELIGIONS_OF_THE_WORLD;;;V
190;Cinghiz Aitmatov;Adio, floare galbena;P29_ENGLISH_LITERATURE;;;I
191;Cinghiz Aitmatov;Adio, floare galbena;P29_ENGLISH_LITERATURE;;;II
192;Cinghiz Aitmatov;Esafodul;P29_ENGLISH_LITERATURE;;;III
193;Cinghiz Aitmatov;Esafodul;P29_ENGLISH_LITERATURE;;;IV
194;Cinghiz Aitmatov;O zi mai lunga decat veacul 1.1 ;P29_ENGLISH_LITERATURE;;;V
195;Cinghiz Aitmatov;O zi mai lunga decat veacul 1.1 ;P29_ENGLISH_LITERATURE;;;I
196;Cinghiz Aitmatov;Stigmatul Casandrei;P29_ENGLISH_LITERATURE;;;II
197;Cinghiz Aitmatov;Stigmatul Casandrei;P29_ENGLISH_LITERATURE;;;III
198;Cinghiz Aitmatov;Vaporul alb;P29_ENGLISH_LITERATURE;;;IV
199;Cinghiz Aitmatov;Vaporul alb;P29_ENGLISH_LITERATURE;;;V
200;Cip Iesan;Mersul trenurilor;P49_HUMOR;;;I
201;Cip Iesan;Mersul trenurilor08 ;P49_HUMOR;;;II
202;Ciprian Mitoceanu;Afacerea Verei Nicolaevna ;P22_PROSE_FICTION;;;III
203;Ciprian Mitoceanu;Afacerea Verei Nicolaevna ;P22_PROSE_FICTION;;;IV
204;Ciprian Mitoceanu;Amendamentul Dawson ;P22_PROSE_FICTION;;;I
205;Ciprian Mitoceanu;Amendamentul Dawson 02 ;P22_PROSE_FICTION;;;II
206;Ciprian Mitoceanu;Jurnalul unui animal de companie ;P22_PROSE_FICTION;;;III
207;Ciprian Mitoceanu;Jurnalul unui animal de companie ;P22_PROSE_FICTION;;;IV
208;Ciprian Mitoceanu;Justitie de fier ;P22_PROSE_FICTION;;;V
209;Ciprian Mitoceanu;Justitie de fier ;P22_PROSE_FICTION;;;I
210;Ciprian Mitoceanu;O experienta stranie ;P22_PROSE_FICTION;;;II
211;Ciprian Mitoceanu;O experienta stranie ;P22_PROSE_FICTION;;;III
212;Ciprian Mitoceanu;O poveste perversa ;P22_PROSE_FICTION;;;IV
213;Ciprian Mitoceanu;O poveste perversa ;P22_PROSE_FICTION;;;V
214;Ciprian Mitoceanu;Resurse nelimitate ;P22_PROSE_FICTION;;;I
215;Ciprian Mitoceanu;Resurse nelimitate ;P22_PROSE_FICTION;;;II
216;Ciprian Mitoceanu;Stare de bine ;P22_PROSE_FICTION;;;III
217;Ciprian Mitoceanu;Stare de bine ;P22_PROSE_FICTION;;;IV
218;Ciprian Mitoceanu;Triunghi mortal ;P22_PROSE_FICTION;;;V
219;Ciprian Mitoceanu;Triunghi mortal ;P22_PROSE_FICTION;;;I
220;Ciprian Mitoceanu;Un rau necesar ;P22_PROSE_FICTION;;;II
221;Ciprian Mitoceanu;Un rau necesar 09 ;P22_PROSE_FICTION;;;III
222;Ciprian Valcan;Eseu despre metafizica teatrului ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;IV
223;Ciprian Valcan;Eseu despre metafizica teatrului ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;V
224;Ciprian Valcan;Filosofia pitonului ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;I
225;Ciprian Valcan;Filosofia pitonului 09 ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;II
226;Ciprian Valcan;Fragmente 2009 ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;III
227;Ciprian Valcan;Fragmente 2009 ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;IV
228;Ciprian Valcan;Inchizitia sasaitilor ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;V
229;Ciprian Valcan;Inchizitia sasaitilor ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;I
230;Ciprian Valcan;Madedonio Fernandez sau metafizica visului ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;II
231;Ciprian Valcan;Madedonio Fernandez sau metafizica visului ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;III
232;Ciprian Valcan;Oameni pe catalige ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;IV
233;Ciprian Valcan;Oameni pe catalige ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;I
234;Ciprian Valcan;Odiseu, Don Juan, Narcis ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;II
235;Ciprian Valcan;Odiseu, Don Juan, Narcis ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;III
236;Ciprian Valcan;Sindicatul maimutelor ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;IV
237;Ciprian Valcan;Sindicatul maimutelor ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;V
238;Ciprian Valcan;Sinucigasul si vremea nihilismului ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;I
239;Ciprian Valcan;Sinucigasul si vremea nihilismului ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;II
240;Ciprian Valcan;Ubicuitatea monstruosului ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;III
241;Ciprian Valcan;Ubicuitatea monstruosului Monstruosului ;BD1_GENERAL_PHILOSOPHICAL_WORKS;;;IV
242;Claire Castillon;Insecta ;P29_ENGLISH_LITERATURE;;;V
243;Claire Castillon;Insecta 09 ;P29_ENGLISH_LITERATURE;;;I
244;Claire Contreras;Caleidoscopul inimilor;P40_LOVE_ROMANTIC;;;II
245;Claire Contreras;Caleidoscopul inimilor;P40_LOVE_ROMANTIC;;;III
246;Claire North;Atingerea;P50_FANTASY;;;IV
247;Claire Valery;Ca prin farmec;P40_LOVE_ROMANTIC;;;V
248;Claire Valery;Ca prin farmec;P40_LOVE_ROMANTIC;;;I
249;Claire Valery;In ritmul inimilor;P40_LOVE_ROMANTIC;;;II
250;Claire Valery;In ritmul inimilor09 ;P40_LOVE_ROMANTIC;;;III
251;Claire Valery;Intalnire neasteptata;P40_LOVE_ROMANTIC;;;IV
252;Claire Valery;Intalnire neasteptata09 ;P40_LOVE_ROMANTIC;;;V
253;Claire Valery;Mireasa fugara;P40_LOVE_ROMANTIC;;;I
254;Claire Valery;Mireasa fugara09 ;P40_LOVE_ROMANTIC;;;II
255;Clara Nicollet;Arta alegerii ;P20_DRAMA;;;III
256;Clara Nicollet;Arta alegerii ;P20_DRAMA;;;IV
257;Clara Nicollet;Sancta simplicitas ;P29_ENGLISH_LITERATURE;;;V
258;Clara Nicollet;Sancta simplicitas 09 ;P29_ENGLISH_LITERATURE;;;I
259;Clara Sanchez;Misterul numelui tau;P29_ENGLISH_LITERATURE;;;II
260;Clara Sanchez;Misterul numelui tau;P29_ENGLISH_LITERATURE;;;III
261;Clara Wimberly;Puterea primei iubiri;P40_LOVE_ROMANTIC;;;IV
262;Clara Wimberly;Puterea primei iubiri;P40_LOVE_ROMANTIC;;;I
263;Clare Gibson;Semne si simboluri ;P29_ENGLISH_LITERATURE;;;II
264;Clare Harrison;Marinarul solitar;P40_LOVE_ROMANTIC;;;III
265;Clare Harrison;Marinarul solitar;P40_LOVE_ROMANTIC;;;IV
266;Clare Lavenham;Vacanta In Creta;P40_LOVE_ROMANTIC;;;V
267;Clare Lavenham;Vacanta In Creta0.9 ;P40_LOVE_ROMANTIC;;;I
268;Clare Mackintosh;Te las sa pleci;P42_THRILLER;;;II
269;Clare Mackintosh;Te las sa pleci;P42_THRILLER;;;III
270;Clare Mackintosh;Te vad;P42_THRILLER;;;IV
271;Clare Mackintosh;Te vad;P42_THRILLER;;;V
272;Clark Rawn;Comentariu la Initiere In Hermetism ;BL3_RELIGIONS_OF_THE_WORLD;;;I
273;Clark Rawn;Comentariu la Initiere In Hermetism ;BL3_RELIGIONS_OF_THE_WORLD;;;II
274;Clark Rawn;Corespondenta lui Rawn Clark la cartea Initiere In Hermetism ;BL3_RELIGIONS_OF_THE_WORLD;;;III
275;Clark Rawn;Corespondenta lui Rawn Clark la cartea Initiere In Hermetism ;BL3_RELIGIONS_OF_THE_WORLD;;;IV
276;Claude Anet;Mayerling;P40_LOVE_ROMANTIC;;;V
277;Claude Anet;Mayerling;P40_LOVE_ROMANTIC;;;I
278;Claude Dumont;Paianjenii;P22_PROSE_FICTION;;;II
279;Claude Dumont;Paianjenii06 ;P22_PROSE_FICTION;;;III
280;Claude Mosse;Procesul lui Socrate ;CT1_BIOGRAPHY;;;IV
281;Claude Mosse;Procesul lui Socrate ;CT1_BIOGRAPHY;;;V
282;Claude Roy;Intalnirea de pe Podul Artelor;P40_LOVE_ROMANTIC;;;I
283;Claude Roy;Intalnirea de pe Podul Artelor;P40_LOVE_ROMANTIC;;;II
284;Claude Spaak;Ecouri In memoria timpului;P40_LOVE_ROMANTIC;;;III
285;Claude Spaak;Ecouri In memoria timpului;P40_LOVE_ROMANTIC;;;IV
286;Claude Spaak;Marianne, frumoasa mea;P40_LOVE_ROMANTIC;;;V
287;Claude Spaak;Marianne, frumoasa mea09 ;P40_LOVE_ROMANTIC;;;I
288;Claude Spaak;Ordinea si dezordinea;P40_LOVE_ROMANTIC;;;II
289;Claude Spaak;Ordinea si dezordinea;P40_LOVE_ROMANTIC;;;III
290;Claudia Befu;Teatru ;P48_THEATRE;;;IV
291;Claudia Befu;Teatru 09 ;P48_THEATRE;;;I
292;Claudia Golea;Vara In Siam ;P45_EROTIC;;;II
293;Claudia Jameson;Barbatul Scorpion;P40_LOVE_ROMANTIC;;;III
294;Claudia Jameson;Barbatul Scorpion;P40_LOVE_ROMANTIC;;;IV
295;Claudiu Nicolae Solcan;Indragostitii vorbesc despre vreme ;P16_POETRY;;;V
296;Claudiu Nicolae Solcan;Indragostitii vorbesc despre vreme ;P16_POETRY;;;I
297;Claudiu Paradais;Cantecul Nibelungilor;P44_YOUTH;;;II
298;Claudiu Paradais;Cantecul Nibelungilor;P44_YOUTH;;;III
299;Claus Cornelius Fischer;si ne iarta noua greselile noastre;P20_DRAMA;;;IV
300;Claus Cornelius Fischer;si ne iarta noua greselile noastre;P20_DRAMA;;;V
301;Clayton Emery;Proscrisii;P22_PROSE_FICTION;;;I
302;Clayton Emery;Proscrisii;P22_PROSE_FICTION;;;II
303;Clelie Avit;Sunt aici;P29_ENGLISH_LITERATURE;;;III
304;Clelie Avit;Sunt aici;P29_ENGLISH_LITERATURE;;;IV
305;Clifford Donald Simak;Calea eternitatii;P22_PROSE_FICTION;;;V
306;Clifford Donald Simak;Calea eternitatii;P22_PROSE_FICTION;;;I
307;Clifford Donald Simak;Factorul limita;P22_PROSE_FICTION;;;II
308;Clifford Donald Simak;Factorul limita;P22_PROSE_FICTION;;;III
309;Clifford Donald Simak;Halta;P22_PROSE_FICTION;;;IV
310;Clifford Donald Simak;Halta;P22_PROSE_FICTION;;;V
311;Clifford Moore;Al doilea amant al doamnei Chatterley ;P40_LOVE_ROMANTIC;;;I
312;Clifford Moore;Al doilea amant al doamnei Chatterley ;P40_LOVE_ROMANTIC;;;II
313;Clive Barker;Cabal;P51_HORROR;;;III
314;Clive Barker;Cabal;P51_HORROR;;;IV
315;Clive Barker;Cartile Insangerate;P51_HORROR;;;V
316;Clive Barker;Cartile Insangerate;P51_HORROR;;;I
317;Clive Barker;Intre dealuri, orasele;P51_HORROR;;;II
318;Clive Barker;Intre dealuri, orasele;P51_HORROR;;;III
319;Clive Cussler & Dirk Cussler;Zorii Semilunii;P41_ADVENTURE;;;IV
320;Clive Cussler & Dirk Cussler;Zorii Semilunii;P41_ADVENTURE;;;I
321;Clive Prince & Lynn Picknett;Conspiratia Stargate ;P47_MYSTERY;;;II
322;Clive Prince & Lynn Picknett;Conspiratia Stargate 09 ;P47_MYSTERY;;;III
323;Clive Staples Lewis;Crestinism pur si simplu ;BL_RELIGION;;;IV
324;Clive Staples Lewis;Crestinism pur si simplu 08 ;BL_RELIGION;;;V
325;Clive Staples Lewis;Crestinismul redus la esente ;BL_RELIGION;;;I
326;Clive Staples Lewis;Crestinismul redus la esente 09 ;BL_RELIGION;;;II
327;Clive Staples Lewis;Despre minuni. Cele patru iubiri. Problema durerii ;BL_RELIGION;;;III
328;Clive Staples Lewis;Despre minuni. Cele patru iubiri. Problema durerii 09 ;BL_RELIGION;;;IV
329;Clive Staples Lewis;Sfaturile unui diavol batran catre unul mai tanar ;BL_RELIGION;;;V
330;Clive Staples Lewis;Sfaturile unui diavol batran catre unul mai tanar ;BL_RELIGION;;;I
331;Clorinda Matto de Turner;Pasari fara cuib. Suntem singuri dragostea mea;P40_LOVE_ROMANTIC;;;II
332;Clorinda Matto de Turner;Pasari fara cuib. Suntem singuri dragostea mea;P40_LOVE_ROMANTIC;;;III
333;Clynton Adams;Triada X contraataca;P22_PROSE_FICTION;;;IV
334;Clynton Adams;Triada X contraataca;P22_PROSE_FICTION;;;V
335;Codrut Alexoaia;36.9 vs 180 ;P21_PROSE;;;I
336;Codrut Alexoaia;36.9 vs 180 08 ;P21_PROSE;;;II
337;Col Buchanan;Farlander;P22_PROSE_FICTION;;;III
338;Col Buchanan;Farlander;P22_PROSE_FICTION;;;IV
